ticker,entry_date,exit_date,entry_price,exit_price,holding_days,trade_return
GOOGL,2016-09-20,2016-11-16,799.78,779.98,42,-0.019374143501929786
NFLX,2016-10-11,2016-10-18,100.59,118.79,6,0.14961772960418074
BAC,2016-10-12,2016-10-19,16.03,16.47,6,0.022346368715083997
AAPL,2016-10-20,2016-11-17,117.06,109.95,21,-0.06121926229508201
XOM,2016-10-25,2016-11-02,86.72,83.45,7,-0.03981129904498881
BAC,2016-10-26,2016-10-27,16.87,16.91,2,0.011363636363636465
FB,2016-10-26,2016-11-11,131.04,119.02,13,-0.10030992516441162
AMZN,2016-10-27,2016-11-11,818.36,739.01,12,-0.10160590330541364
MSFT,2016-10-28,2016-11-17,59.87,60.64,15,0.008985024958402255
BAC,2016-10-31,2016-11-07,16.5,17.01,6,0.019784172661870603
NFLX,2016-11-02,2016-12-02,122.34,120.81,22,-0.020194647201946525
MSFT,2016-11-21,2016-12-07,60.86,61.37,12,0.01690140845070398
XOM,2016-12-05,2016-12-09,87.48,89.0,5,0.022518382352941346
NFLX,2016-12-06,2016-12-06,124.57,124.57,1,0.04540114132259143
MSFT,2016-12-09,2016-12-09,61.97,61.97,1,0.01573512538928057
NFLX,2016-12-09,2016-12-15,122.88,125.0,5,0.014281077572217082
GE,2016-12-23,2017-01-31,31.88,29.7,25,-0.06662476429918229
GOOG,2016-12-27,2017-01-06,791.55,806.15,8,0.020559304224531783
NFLX,2016-12-29,2017-01-04,125.33,129.41,4,0.027960918261974665
XOM,2016-12-29,2017-01-26,90.35,85.6,19,-0.052048726467331496
BAC,2016-12-30,2017-01-03,22.1,22.53,2,0.024090909090909163
C,2016-12-30,2017-01-03,59.43,60.59,2,0.020377231391040862
GOOGL,2017-01-03,2017-01-06,808.01,825.21,4,0.04134014764338434
MSFT,2017-01-03,2017-01-24,62.58,63.52,15,0.022207917605406635
BAC,2017-01-10,2017-01-10,22.94,22.94,1,0.017294900221729526
C,2017-01-10,2017-01-23,60.23,55.68,9,-0.07539023580205917
AMZN,2017-01-17,2017-02-01,809.72,832.35,12,0.018613701446508868
JPM,2017-01-18,2017-02-03,83.94,87.18,13,0.04344703770197467
